college,season,division,height,numplayers,rank,W,L,winpct,percentile
Princeton University,2010-2011,D1,75.9,21,35.0,3.0,19.0,0.136,0.0
Princeton University,2011-2012,D1,76.42307692307692,26,12.0,13.0,10.0,0.565,0.6
Princeton University,2012-2013,D1,74.66666666666667,15,14.0,13.0,10.0,0.565,0.5
Princeton University,2013-2014,D1,75.33333333333333,18,15.0,16.0,10.0,0.615,0.6153846153846154
Princeton University,2014-2015,D1,76.0625,16,27.0,11.0,13.0,0.45799999999999996,0.3571428571428571
Princeton University,2015-2016,D1,76.86666666666666,15,39.0,4.0,18.0,0.182,0.0714285714285714
Princeton University,2016-2017,D1,77.76923076923077,13,23.0,12.0,14.0,0.462,0.4390243902439024
Princeton University,2017-2018,D1,76.375,16,26.0,12.0,16.0,0.429,0.38095238095238093
Princeton University,2018-2019,D1,76.83333333333333,18,15.0,18.0,13.0,0.581,0.6511627906976745
Princeton University,2019-2020,D1,76.29411764705883,17,15.0,9.0,6.0,0.6,0.6666666666666667
Purchase College,2010-2011,D3,73.3,10,45.0,2.0,14.0,0.125,0.04255319148936165
Purchase College,2011-2012,D3,73.14285714285714,14,,,,,
Purchase College,2012-2013,D3,74.3125,16,,,,,
Purchase College,2013-2014,D3,72.42857142857143,7,46.0,7.0,13.0,0.35,0.24590163934426235
Purchase College,2014-2015,D3,71.75,8,48.0,10.0,17.0,0.37,0.2727272727272727
Purchase College,2015-2016,D3,71.55555555555556,9,44.0,12.0,17.0,0.414,0.38888888888888884
Purchase College,2016-2017,D3,71.6,10,28.0,14.0,9.0,0.609,0.641025641025641
Purchase College,2017-2018,D3,71.0,9,61.0,9.0,16.0,0.36,0.2823529411764706
Purchase College,2018-2019,D3,73.3,10,54.0,13.0,16.0,0.44799999999999995,0.45999999999999996
Purchase College,2019-2020,D3,71.18181818181819,11,67.0,6.0,9.0,0.4,0.3232323232323232
Purdue University,2010-2011,D1,74.65384615384616,26,18.0,16.0,12.0,0.5710000000000001,0.48571428571428577
Purdue University,2011-2012,D1,74.64,26,21.0,13.0,15.0,0.46399999999999997,0.30000000000000004
Purdue University,2012-2013,D1,76.19047619047619,21,20.0,13.0,13.0,0.5,0.2857142857142857
Purdue University,2013-2014,D1,75.72222222222223,18,3.0,21.0,7.0,0.75,0.9230769230769231
Purdue University,2014-2015,D1,76.21052631578948,19,13.0,18.0,12.0,0.6,0.6904761904761905
Purdue University,2015-2016,D1,75.84210526315789,19,32.0,10.0,19.0,0.345,0.23809523809523814
Purdue University,2016-2017,D1,76.23529411764706,17,40.0,5.0,23.0,0.179,0.024390243902439046
Purdue University,2017-2018,D1,75.6923076923077,13,12.0,18.0,11.0,0.621,0.7142857142857143
Purdue University,2018-2019,D1,76.11764705882354,17,14.0,17.0,12.0,0.586,0.6744186046511628
Purdue University,2019-2020,D1,76.33333333333333,15,17.0,10.0,7.0,0.588,0.6222222222222222
Queens University,2017-2018,D1,74.23076923076923,13,38.0,8.0,21.0,0.276,0.09523809523809523
Queens University,2018-2019,D1,74.66666666666667,18,30.0,10.0,19.0,0.345,0.3023255813953488
Queens University,2019-2020,D1,75.05882352941177,17,30.0,6.0,9.0,0.4,0.33333333333333337
Quincy University,2010-2011,D1,74.26666666666667,15,13.0,22.0,14.0,0.611,0.6285714285714286
Quincy University,2011-2012,D1,74.4375,16,17.0,16.0,15.0,0.516,0.43333333333333335
Quincy University,2012-2013,D1,74.78947368421052,19,28.0,10.0,21.0,0.32299999999999995,0.0
Quincy University,2013-2014,D1,75.15,20,28.0,13.0,19.0,0.406,0.28205128205128205
Quincy University,2014-2015,D1,74.9047619047619,22,25.0,13.0,15.0,0.46399999999999997,0.40476190476190477
Quincy University,2015-2016,D1,75.06451612903226,31,27.0,18.0,22.0,0.45,0.3571428571428571
Quincy University,2016-2017,D1,74.68181818181819,22,38.0,7.0,22.0,0.24100000000000002,0.07317073170731703
Quincy University,2017-2018,D1,75.5,18,29.0,12.0,18.0,0.4,0.30952380952380953
Quincy University,2018-2019,D1,75.9375,16,41.0,5.0,23.0,0.179,0.046511627906976716
Quincy University,2019-2020,D1,76.16666666666667,18,37.0,5.0,13.0,0.278,0.1777777777777778
Ramapo College,2010-2011,D3,75.8,10,18.0,18.0,13.0,0.581,0.6170212765957447
Ramapo College,2011-2012,D3,75.125,8,17.0,21.0,13.0,0.618,0.4137931034482759
Ramapo College,2012-2013,D3,74.5,10,16.0,20.0,12.0,0.625,0.4285714285714286
Ramapo College,2013-2014,D3,75.26666666666667,15,14.0,25.0,11.0,0.6940000000000001,0.7704918032786885
Ramapo College,2014-2015,D3,74.92857142857143,14,33.0,19.0,17.0,0.528,0.5
Ramapo College,2015-2016,D3,73.0,9,33.0,19.0,16.0,0.5429999999999999,0.5416666666666667
Ramapo College,2016-2017,D3,73.21428571428571,14,30.0,18.0,12.0,0.6,0.6153846153846154
Ramapo College,2017-2018,D3,73.0,15,71.0,8.0,21.0,0.276,0.16470588235294115
Ramapo College,2018-2019,D3,73.75,16,48.0,15.0,16.0,0.484,0.52
Ramapo College,2019-2020,D3,73.8125,16,36.0,14.0,8.0,0.636,0.6363636363636364
Randolph-Macon College,2018-2019,D3,74.08333333333333,12,60.0,11.0,15.0,0.423,0.4
Randolph-Macon College,2019-2020,D3,73.73333333333333,16,77.0,5.0,13.0,0.278,0.2222222222222222
Regis College,2010-2011,D3,71.5625,16,,,,,
Regis College,2011-2012,D3,74.375,16,,,,,
Regis College,2012-2013,D3,71.11111111111111,9,,,,,
Regis College,2013-2014,D3,70.71428571428571,9,30.0,12.0,11.0,0.522,0.5081967213114754
Regis College,2014-2015,D3,73.08333333333333,14,43.0,12.0,16.0,0.429,0.3484848484848485
Regis College,2015-2016,D3,71.9375,16,37.0,12.0,12.0,0.5,0.48611111111111116
Regis College,2016-2017,D3,72.75,12,39.0,14.0,14.0,0.5,0.5
Regis College,2017-2018,D3,71.71428571428571,14,63.0,8.0,16.0,0.33299999999999996,0.2588235294117647
Regis College,2018-2019,D3,71.4375,16,64.0,10.0,15.0,0.4,0.36
Regis College,2019-2020,D3,70.71428571428571,14,80.0,4.0,11.0,0.267,0.19191919191919193
Rivier University,2010-2011,D3,74.6842105263158,19,4.0,33.0,9.0,0.7859999999999999,0.9148936170212766
Rivier University,2011-2012,D3,75.0,20,4.0,26.0,9.0,0.743,0.8620689655172413
Rivier University,2012-2013,D3,74.94444444444444,18,9.0,27.0,12.0,0.6920000000000001,0.6785714285714286
Rivier University,2013-2014,D3,73.94736842105263,19,3.0,29.0,7.0,0.8059999999999999,0.9508196721311475
Rivier University,2014-2015,D3,74.21428571428571,14,13.0,19.0,9.0,0.679,0.803030303030303
Rivier University,2015-2016,D3,73.53846153846153,13,17.0,22.0,11.0,0.667,0.7638888888888888
Rivier University,2016-2017,D3,74.93333333333334,15,29.0,20.0,13.0,0.606,0.6282051282051282
Rivier University,2017-2018,D3,74.88235294117646,17,,,,,
Rivier University,2018-2019,D3,74.3529411764706,17,13.0,26.0,8.0,0.765,0.87
Rivier University,2019-2020,D3,73.9375,16,17.0,12.0,4.0,0.75,0.8282828282828283
Rockford University,2019-2020,D3,72.6,10,99.0,1.0,14.0,0.067,0.0
Rosemont College,2018-2019,D3,71.875,9,,,,,
Rosemont College,2019-2020,D3,71.875,9,,,,,
Rutgers University,2010-2011,D3,75.20833333333333,24,17.0,17.0,12.0,0.586,0.6382978723404256
Rutgers University,2011-2012,D3,76.0952380952381,24,25.0,10.0,15.0,0.4,0.13793103448275867
Rutgers University,2012-2013,D3,71.8,5,,,,,
Rutgers University,2013-2014,D3,72.33333333333333,15,32.0,9.0,17.0,0.34600000000000003,0.47540983606557374
Rutgers University,2014-2015,D3,73.58823529411765,17,12.0,22.0,10.0,0.688,0.8181818181818181
Rutgers University,2015-2016,D3,73.22222222222223,18,4.0,24.0,4.0,0.857,0.9444444444444444
Rutgers University,2016-2017,D3,73.0,15,50.0,12.0,17.0,0.414,0.3589743589743589
Rutgers University,2017-2018,D3,73.375,19,22.0,19.0,9.0,0.679,0.7411764705882353
Rutgers University,2018-2019,D3,73.14285714285714,18,33.0,16.0,10.0,0.615,0.6699999999999999
Rutgers University,2019-2020,D3,74.07142857142857,14,1.0,17.0,1.0,0.9440000000000001,0.98989898989899
SUNY POLY,2012-2013,D3,72.0909090909091,11,,,,,
SUNY POLY,2013-2014,D3,72.66666666666667,12,5.0,18.0,5.0,0.7829999999999999,0.9180327868852459
SUNY POLY,2014-2015,D3,73.0,12,30.0,15.0,13.0,0.536,0.5454545454545454
SUNY POLY,2015-2016,D3,73.66666666666667,9,21.0,20.0,11.0,0.645,0.7083333333333333
SUNY POLY,2016-2017,D3,74.46153846153847,13,43.0,16.0,17.0,0.485,0.4487179487179487
SUNY POLY,2017-2018,D3,73.82352941176471,17,48.0,13.0,15.0,0.46399999999999997,0.43529411764705883
SUNY POLY,2018-2019,D3,73.46153846153847,13,40.0,16.0,13.0,0.552,0.6
SUNY POLY,2019-2020,D3,72.35714285714286,14,73.0,5.0,11.0,0.313,0.26262626262626265
Sacred Heart University,2012-2013,D1,76.94736842105263,19,,,,,
Sacred Heart University,2013-2014,D1,75.4,20,31.0,10.0,18.0,0.35700000000000004,0.20512820512820518
Sacred Heart University,2014-2015,D1,74.77777777777777,18,24.0,12.0,13.0,0.48,0.4285714285714286
Sacred Heart University,2015-2016,D1,75.1875,16,35.0,7.0,17.0,0.292,0.16666666666666663
Sacred Heart University,2016-2017,D1,74.55555555555556,19,15.0,15.0,11.0,0.5770000000000001,0.6341463414634146
Sacred Heart University,2017-2018,D1,74.6470588235294,17,34.0,7.0,15.0,0.318,0.19047619047619047
Sacred Heart University,2018-2019,D1,75.22222222222223,18,40.0,5.0,16.0,0.23800000000000002,0.06976744186046513
Sacred Heart University,2019-2020,D1,74.21428571428571,14,35.0,5.0,11.0,0.313,0.2222222222222222
Saint Vincent College,2018-2019,D3,73.54545454545455,11,,,,,
Saint Vincent College,2019-2020,D3,73.54545454545455,11,,,,,
Sarah Lawrence College,2010-2011,D3,75.95238095238095,21,,,,,
Sarah Lawrence College,2011-2012,D3,76.2,20,,,,,
Sarah Lawrence College,2012-2013,D3,72.15384615384616,14,,,,,
Sarah Lawrence College,2013-2014,D3,71.84615384615384,13,,,,,
Sarah Lawrence College,2014-2015,D3,71.8,10,,,,,
Sarah Lawrence College,2015-2016,D3,73.66666666666667,9,72.0,0.0,22.0,0.0,0.0
Sarah Lawrence College,2016-2017,D3,71.63636363636364,11,78.0,1.0,21.0,0.045,0.0
Sarah Lawrence College,2017-2018,D3,71.14285714285714,7,,,,,
Sarah Lawrence College,2018-2019,D3,72.28571428571429,7,87.0,4.0,17.0,0.19,0.13
Sarah Lawrence College,2019-2020,D3,70.11111111111111,9,97.0,2.0,18.0,0.1,0.02020202020202022
Southern Virginia University,2016-2017,D3,75.25,13,11.0,18.0,6.0,0.75,0.858974358974359
Southern Virginia University,2017-2018,D3,74.8125,16,29.0,13.0,8.0,0.619,0.6588235294117647
Southern Virginia University,2018-2019,D3,75.25,16,7.0,22.0,4.0,0.846,0.9299999999999999
Southern Virginia University,2019-2020,D3,75.9375,16,14.0,11.0,3.0,0.7859999999999999,0.8585858585858586
Springfield College,2010-2011,D3,70.11111111111111,9,20.0,18.0,15.0,0.545,0.574468085106383
Springfield College,2011-2012,D3,70.33333333333333,9,1.0,33.0,5.0,0.868,0.9655172413793104
Springfield College,2012-2013,D3,74.45,20,2.0,32.0,3.0,0.914,0.9285714285714286
Springfield College,2013-2014,D3,74.95,20,4.0,27.0,7.0,0.794,0.9344262295081968
Springfield College,2014-2015,D3,74.6,20,8.0,25.0,7.0,0.7809999999999999,0.8787878787878788
Springfield College,2015-2016,D3,75.72222222222223,18,3.0,28.0,4.0,0.875,0.9583333333333334
Springfield College,2016-2017,D3,75.16666666666667,18,,,,,
Springfield College,2017-2018,D3,75.0,17,1.0,31.0,2.0,0.9390000000000001,0.9882352941176471
Springfield College,2018-2019,D3,74.22222222222223,18,1.0,27.0,3.0,0.9,0.99
Springfield College,2019-2020,D3,74.0625,16,2.0,19.0,2.0,0.905,0.9797979797979798
St Francis University,2011-2012,D1,,8,22.0,12.0,15.0,0.444,0.2666666666666667
St Francis University,2012-2013,D1,75.63636363636364,22,23.0,12.0,15.0,0.444,0.1785714285714286
St Francis University,2013-2014,D1,75.84,25,25.0,11.0,15.0,0.423,0.3589743589743589
St Francis University,2014-2015,D1,75.77272727272727,22,37.0,6.0,20.0,0.231,0.11904761904761907
St Francis University,2015-2016,D1,75.28,25,12.0,19.0,10.0,0.655,0.7142857142857143
St Francis University,2016-2017,D1,75.75,25,18.0,16.0,15.0,0.516,0.5609756097560976
St Francis University,2017-2018,D1,75.27777777777777,19,35.0,9.0,20.0,0.31,0.16666666666666663
St Francis University,2018-2019,D1,76.3125,19,21.0,15.0,14.0,0.517,0.5116279069767442
St Francis University,2019-2020,D1,75.9090909090909,24,37.0,5.0,13.0,0.278,0.1777777777777778
St Josephs College-Brooklyn,2010-2011,D3,73.72727272727273,11,,,,,
St Josephs College-Brooklyn,2011-2012,D3,71.81818181818181,11,,,,,
St Josephs College-Brooklyn,2012-2013,D3,70.75,8,,,,,
St Josephs College-Brooklyn,2013-2014,D3,70.5,8,39.0,8.0,12.0,0.4,0.360655737704918
St Josephs College-Brooklyn,2014-2015,D3,71.25,8,35.0,10.0,10.0,0.5,0.4696969696969697
St Josephs College-Brooklyn,2015-2016,D3,71.25,8,64.0,5.0,17.0,0.22699999999999998,0.11111111111111116
St Josephs College-Brooklyn,2016-2017,D3,69.22222222222223,9,77.0,2.0,25.0,0.07400000000000001,0.012820512820512775
St Josephs College-Brooklyn,2017-2018,D3,71.77777777777777,9,82.0,3.0,16.0,0.158,0.03529411764705881
St Josephs College-Brooklyn,2018-2019,D3,71.2,10,80.0,6.0,19.0,0.24,0.19999999999999996
St Josephs College-Brooklyn,2019-2020,D3,71.76923076923077,13,75.0,4.0,9.0,0.308,0.24242424242424243
St. Francis College,2018-2019,D1,74.81818181818181,11,,,,,
St. Francis College,2019-2020,D1,74.81818181818181,11,34.0,5.0,10.0,0.33299999999999996,0.24444444444444446
St. John Fisher College,2017-2018,D3,72.17647058823529,17,52.0,13.0,16.0,0.44799999999999995,0.388235294117647
St. John Fisher College,2018-2019,D3,73.3529411764706,17,31.0,21.0,13.0,0.618,0.69
St. John Fisher College,2019-2020,D3,73.8125,16,13.0,15.0,4.0,0.789,0.8686868686868687
St. Josephs College-Long Island ,2016-2017,D3,72.27272727272727,11,24.0,19.0,11.0,0.633,0.6923076923076923
St. Josephs College-Long Island ,2017-2018,D3,71.0,14,15.0,23.0,9.0,0.7190000000000001,0.8235294117647058
St. Josephs College-Long Island ,2018-2019,D3,71.75,16,12.0,24.0,7.0,0.774,0.88
St. Josephs College-Long Island ,2019-2020,D3,72.82352941176471,17,37.0,12.0,7.0,0.632,0.6262626262626263
Stanford University,2010-2011,D1,74.0,14,7.0,19.0,9.0,0.679,0.8
Stanford University,2011-2012,D1,73.75,12,7.0,22.0,7.0,0.759,0.7666666666666666
Stanford University,2012-2013,D1,75.6923076923077,18,17.0,15.0,13.0,0.536,0.3928571428571429
Stanford University,2013-2014,D1,76.0,20,8.0,24.0,9.0,0.727,0.7948717948717949
Stanford University,2014-2015,D1,75.92307692307692,18,33.0,10.0,18.0,0.35700000000000004,0.2142857142857143
Stanford University,2015-2016,D1,76.0,16,4.0,19.0,6.0,0.76,0.9047619047619048
Stanford University,2016-2017,D1,76.5,18,19.0,13.0,13.0,0.5,0.5365853658536586
Stanford University,2017-2018,D1,77.15789473684211,19,40.0,6.0,20.0,0.231,0.04761904761904767
Stanford University,2018-2019,D1,76.5625,16,16.0,15.0,11.0,0.5770000000000001,0.627906976744186
Stanford University,2019-2020,D1,78.0,15,32.0,6.0,11.0,0.353,0.28888888888888886
State University of NY at New Paltz,2010-2011,D3,74.3125,16,14.0,20.0,13.0,0.606,0.7021276595744681
State University of NY at New Paltz,2011-2012,D3,74.58823529411765,17,14.0,19.0,11.0,0.633,0.5172413793103448
State University of NY at New Paltz,2012-2013,D3,73.94444444444444,18,4.0,27.0,6.0,0.818,0.8571428571428572
State University of NY at New Paltz,2013-2014,D3,74.76470588235294,17,1.0,32.0,4.0,0.889,0.9836065573770492
State University of NY at New Paltz,2014-2015,D3,74.47368421052632,19,5.0,27.0,6.0,0.818,0.9242424242424242
State University of NY at New Paltz,2015-2016,D3,75.0,16,1.0,33.0,2.0,0.943,0.9861111111111112
State University of NY at New Paltz,2016-2017,D3,74.84210526315789,19,11.0,27.0,9.0,0.75,0.858974358974359
State University of NY at New Paltz,2017-2018,D3,75.05555555555556,18,17.0,19.0,8.0,0.7040000000000001,0.8
State University of NY at New Paltz,2018-2019,D3,74.84210526315789,19,10.0,28.0,7.0,0.8,0.9
State University of NY at New Paltz,2019-2020,D3,74.8,20,5.0,16.0,3.0,0.8420000000000001,0.9494949494949495
State University of NY at Potsdam,2018-2019,D3,69.72727272727273,11,,,,,
State University of NY at Potsdam,2019-2020,D3,69.72727272727273,11,84.0,4.0,13.0,0.235,0.1515151515151515
Stevens Institute of Technology,2010-2011,D3,70.83333333333333,6,16.0,18.0,12.0,0.6,0.6595744680851063
Stevens Institute of Technology,2011-2012,D3,71.0,5,2.0,28.0,8.0,0.778,0.9310344827586207
Stevens Institute of Technology,2012-2013,D3,75.36842105263158,19,8.0,25.0,9.0,0.735,0.7142857142857143
Stevens Institute of Technology,2013-2014,D3,75.23076923076923,13,15.0,22.0,10.0,0.688,0.7540983606557377
Stevens Institute of Technology,2014-2015,D3,75.38888888888889,18,,,,,
Stevens Institute of Technology,2015-2016,D3,74.55,20,7.0,27.0,7.0,0.794,0.9027777777777778
Stevens Institute of Technology,2016-2017,D3,74.73684210526316,19,,,,,
Stevens Institute of Technology,2017-2018,D3,74.52631578947368,19,5.0,27.0,5.0,0.8440000000000001,0.9411764705882353
Stevens Institute of Technology,2018-2019,D3,74.8,20,9.0,29.0,6.0,0.8290000000000001,0.91
Stevens Institute of Technology,2019-2020,D3,75.45,20,7.0,18.0,4.0,0.818,0.9292929292929293
Stevenson University,2010-2011,D3,72.27272727272727,11,3.0,26.0,7.0,0.7879999999999999,0.9361702127659575
Stevenson University,2011-2012,D3,72.6,10,18.0,20.0,13.0,0.606,0.3793103448275862
Stevenson University,2015-2016,D3,73.70588235294117,17,9.0,26.0,8.0,0.765,0.875
Stevenson University,2016-2017,D3,73.06666666666666,15,26.0,20.0,12.0,0.625,0.6666666666666667
Stevenson University,2017-2018,D3,73.73333333333333,15,16.0,22.0,9.0,0.71,0.8117647058823529
Stevenson University,2018-2019,D3,74.25,16,4.0,30.0,4.0,0.882,0.96
Stevenson University,2019-2020,D3,74.1875,16,22.0,12.0,5.0,0.706,0.7777777777777778
The Sage Colleges,2011-2012,D3,75.23529411764706,17,16.0,17.0,10.0,0.63,0.4482758620689655
The Sage Colleges,2012-2013,D3,72.8,10,5.0,30.0,7.0,0.8109999999999999,0.8214285714285714
The Sage Colleges,2013-2014,D3,72.53846153846153,13,52.0,8.0,18.0,0.308,0.14754098360655743
The Sage Colleges,2014-2015,D3,73.28571428571429,7,50.0,9.0,18.0,0.33299999999999996,0.24242424242424243
The Sage Colleges,2015-2016,D3,72.3,10,43.0,15.0,20.0,0.429,0.4027777777777778
The Sage Colleges,2016-2017,D3,74.23076923076923,13,38.0,17.0,15.0,0.531,0.5128205128205128
The Sage Colleges,2017-2018,D3,73.73333333333333,15,46.0,13.0,14.0,0.48100000000000004,0.45882352941176474
The Sage Colleges,2018-2019,D3,71.83333333333333,12,63.0,11.0,16.0,0.40700000000000003,0.37
The Sage Colleges,2019-2020,D3,72.75,8,87.0,5.0,17.0,0.22699999999999998,0.12121212121212122
Thiel College,2010-2011,D3,76.14285714285714,19,37.0,10.0,20.0,0.33299999999999996,0.21276595744680848
Thiel College,2011-2012,D3,76.06666666666666,20,,,,,
Thiel College,2012-2013,D3,73.6,15,16.0,20.0,12.0,0.625,0.4285714285714286
Thiel College,2013-2014,D3,74.14285714285714,14,38.0,13.0,18.0,0.419,0.3770491803278688
Thiel College,2014-2015,D3,73.4375,16,42.0,11.0,14.0,0.44,0.36363636363636365
Thiel College,2015-2016,D3,72.77777777777777,9,67.0,3.0,16.0,0.158,0.06944444444444442
Thiel College,2016-2017,D3,74.25,12,48.0,11.0,15.0,0.423,0.3846153846153846
Thiel College,2017-2018,D3,74.85714285714286,14,63.0,9.0,18.0,0.33299999999999996,0.2588235294117647
Thiel College,2018-2019,D3,74.5,12,36.0,17.0,12.0,0.586,0.64
Thiel College,2019-2020,D3,74.38461538461539,13,91.0,2.0,10.0,0.16699999999999998,0.08080808080808077
Trine University,2018-2019,D3,73.36363636363636,11,85.0,6.0,23.0,0.207,0.15000000000000002
Trine University,2019-2020,D3,73.125,16,81.0,4.0,12.0,0.25,0.18181818181818177
Tusculum University,2019-2020,D1,73.83333333333333,12,40.0,5.0,14.0,0.263,0.11111111111111116
UC Irvine,2010-2011,D1,74.11111111111111,9,,,,,
UC Irvine,2011-2012,D1,73.66666666666667,9,1.0,26.0,5.0,0.8390000000000001,0.9666666666666667
UC Irvine,2012-2013,D1,75.95238095238095,21,3.0,25.0,7.0,0.7809999999999999,0.8928571428571429
UC Irvine,2013-2014,D1,76.85714285714286,21,13.0,18.0,11.0,0.621,0.6666666666666667
UC Irvine,2014-2015,D1,76.52380952380952,21,3.0,28.0,5.0,0.848,0.9285714285714286
UC Irvine,2015-2016,D1,77.0,20,33.0,10.0,20.0,0.33299999999999996,0.2142857142857143
UC Irvine,2016-2017,D1,77.21052631578948,20,8.0,20.0,7.0,0.741,0.8048780487804879
UC Irvine,2017-2018,D1,77.04545454545455,22,9.0,21.0,10.0,0.677,0.7857142857142857
UC Irvine,2018-2019,D1,77.52631578947368,19,12.0,18.0,11.0,0.621,0.7209302325581395
UC Irvine,2019-2020,D1,77.41176470588235,17,17.0,10.0,7.0,0.588,0.6222222222222222
UC San Diego,2010-2011,D1,76.33333333333333,18,30.0,9.0,20.0,0.31,0.1428571428571429
UC San Diego,2011-2012,D1,76.7,20,28.0,9.0,19.0,0.321,0.06666666666666665
UC San Diego,2012-2013,D1,76.1304347826087,23,,,,,
UC San Diego,2013-2014,D1,75.71428571428571,21,36.0,4.0,23.0,0.14800000000000002,0.07692307692307687
UC San Diego,2014-2015,D1,75.8,20,42.0,2.0,26.0,0.071,0.0
UC San Diego,2015-2016,D1,75.80952380952381,21,40.0,5.0,23.0,0.179,0.04761904761904767
UC San Diego,2016-2017,D1,76.18181818181819,22,37.0,7.0,20.0,0.259,0.09756097560975607
UC San Diego,2017-2018,D1,76.6086956521739,23,33.0,9.0,19.0,0.321,0.2142857142857143
UC San Diego,2018-2019,D1,76.47619047619048,21,38.0,7.0,20.0,0.259,0.11627906976744184
UC San Diego,2019-2020,D1,76.66666666666667,21,8.0,14.0,5.0,0.737,0.8222222222222222
UC Santa Barbara,2011-2012,D1,76.63157894736842,19,30.0,7.0,19.0,0.26899999999999996,0.0
UC Santa Barbara,2013-2014,D1,76.3157894736842,19,10.0,18.0,9.0,0.667,0.7435897435897436
UC Santa Barbara,2014-2015,D1,76.04166666666667,24,11.0,17.0,10.0,0.63,0.7380952380952381
UC Santa Barbara,2015-2016,D1,76.57894736842105,19,10.0,20.0,10.0,0.667,0.7619047619047619
UC Santa Barbara,2016-2017,D1,76.0,19,28.0,10.0,16.0,0.385,0.31707317073170727
UC Santa Barbara,2017-2018,D1,76.33333333333333,15,24.0,11.0,13.0,0.45799999999999996,0.4285714285714286
UC Santa Barbara,2018-2019,D1,75.95833333333333,24,11.0,18.0,10.0,0.643,0.7441860465116279
UC Santa Barbara,2019-2020,D1,76.13636363636364,22,4.0,14.0,2.0,0.875,0.9111111111111111
UC Santa Cruz,2012-2013,D3,74.6875,16,14.0,15.0,8.0,0.652,0.5
UC Santa Cruz,2013-2014,D3,74.3076923076923,13,27.0,14.0,12.0,0.5379999999999999,0.5573770491803278
UC Santa Cruz,2014-2015,D3,74.66666666666667,18,4.0,23.0,5.0,0.821,0.9393939393939394
UC Santa Cruz,2015-2016,D3,73.57142857142857,21,12.0,18.0,7.0,0.72,0.8333333333333334
UC Santa Cruz,2016-2017,D3,73.92307692307692,13,15.0,14.0,5.0,0.737,0.8076923076923077
UC Santa Cruz,2017-2018,D3,73.70588235294117,17,14.0,26.0,10.0,0.722,0.8352941176470589
UC Santa Cruz,2018-2019,D3,73.9375,16,39.0,21.0,17.0,0.5529999999999999,0.61
UC Santa Cruz,2019-2020,D3,74.52941176470588,17,46.0,14.0,11.0,0.56,0.5353535353535354
UCLA,2010-2011,D1,75.89473684210526,19,24.0,16.0,15.0,0.516,0.3142857142857143
UCLA,2011-2012,D1,76.66666666666667,21,9.0,22.0,8.0,0.733,0.7
UCLA,2012-2013,D1,76.6,20,12.0,21.0,11.0,0.6559999999999999,0.5714285714285714
UCLA,2015-2016,D1,75.55555555555556,18,3.0,25.0,7.0,0.7809999999999999,0.9285714285714286
UCLA,2016-2017,D1,75.45,20,13.0,17.0,10.0,0.63,0.6829268292682926
UCLA,2017-2018,D1,76.7,20,5.0,26.0,8.0,0.765,0.8809523809523809
UCLA,2018-2019,D1,77.5,20,8.0,19.0,9.0,0.679,0.813953488372093
UCLA,2019-2020,D1,78.0,23,25.0,10.0,9.0,0.526,0.4444444444444444
USC,2010-2011,D1,72.42857142857143,14,1.0,23.0,4.0,0.852,0.9714285714285714
USC,2011-2012,D1,72.58333333333333,12,2.0,24.0,6.0,0.8,0.9333333333333333
USC,2012-2013,D1,77.04545454545455,23,,,,,
USC,2013-2014,D1,76.7,20,17.0,16.0,11.0,0.593,0.5641025641025641
USC,2014-2015,D1,76.7,20,9.0,19.0,9.0,0.679,0.7857142857142857
USC,2015-2016,D1,76.27777777777777,18,36.0,7.0,19.0,0.26899999999999996,0.1428571428571429
USC,2016-2017,D1,76.36363636363636,22,19.0,14.0,14.0,0.5,0.5365853658536586
USC,2017-2018,D1,76.73684210526316,19,36.0,8.0,20.0,0.28600000000000003,0.1428571428571429
USC,2018-2019,D1,76.65,20,12.0,18.0,11.0,0.621,0.7209302325581395
USC,2019-2020,D1,76.73913043478261,23,40.0,5.0,14.0,0.263,0.11111111111111116
University of Hawaii,2012-2013,D1,72.6875,16,25.0,11.0,17.0,0.39299999999999996,0.1071428571428571
University of Hawaii,2013-2014,D1,76.8,20,19.0,15.0,12.0,0.556,0.5128205128205128
University of Hawaii,2014-2015,D1,76.5,20,6.0,24.0,7.0,0.774,0.8571428571428572
University of Hawaii,2015-2016,D1,76.2,20,20.0,16.0,12.0,0.5710000000000001,0.5238095238095238
University of Hawaii,2016-2017,D1,76.76190476190476,21,5.0,27.0,6.0,0.818,0.8780487804878049
University of Hawaii,2017-2018,D1,76.55,20,8.0,19.0,8.0,0.7040000000000001,0.8095238095238095
University of Hawaii,2018-2019,D1,77.55555555555556,18,2.0,28.0,3.0,0.903,0.9534883720930233
University of Hawaii,2019-2020,D1,76.47619047619048,21,2.0,15.0,1.0,0.938,0.9555555555555556
University of Mount Olive,2011-2012,D1,71.55555555555556,11,14.0,17.0,14.0,0.5479999999999999,0.5333333333333333
University of Mount Olive,2012-2013,D1,75.33333333333333,18,2.0,22.0,6.0,0.7859999999999999,0.9285714285714286
University of Mount Olive,2013-2014,D1,74.77777777777777,18,19.0,15.0,12.0,0.556,0.5128205128205128
University of Mount Olive,2014-2015,D1,75.72222222222223,18,13.0,15.0,10.0,0.6,0.6904761904761905
University of Mount Olive,2015-2016,D1,76.2,20,23.0,12.0,12.0,0.5,0.45238095238095233
University of Mount Olive,2016-2017,D1,77.0,15,11.0,18.0,10.0,0.643,0.7317073170731707
