college,division,playername,position,height,season
UC Irvine,D1,MICHAEL BRINKLEY,LIBERO,70,2013-2014
UC Irvine,D1,MICHAEL SAETA,RIGHT SIDE,77,2013-2014
UC Irvine,D1,PHILLIP FRIEDMAN,OUTSIDE HITTER,76,2013-2014
UC Irvine,D1,REID DOMINGUEZ,OUTSIDE HITTER,77,2013-2014
UC Irvine,D1,ROBERTO FRAZZONI,SETTER,74,2013-2014
UC Irvine,D1,SCOTT KEVORKEN,MIDDLE BLOCKER,81,2013-2014
UC Irvine,D1,TAMIR HERSHKO,RIGHT SIDE,78,2013-2014
UC Irvine,D1,TRAVIS WOLOSON,OUTSIDE HITTER,76,2013-2014
UC Irvine,D1,TUCKER PIKULA,OUTSIDE HITTER,73,2013-2014
UC Irvine,D1,ZACK LA CAVERA,RIGHT SIDE,76,2013-2014
UC Santa Cruz,D3,BLAKE CHADWICK,SETTER,74,2013-2014
UC Santa Cruz,D3,BRANDEN TORADO,MIDDLE BLOCKER,75,2013-2014
UC Santa Cruz,D3,CAMERON BARDEAU,LIBERO,71,2013-2014
UC Santa Cruz,D3,CURTIS HADLAND,SETTER,71,2013-2014
UC Santa Cruz,D3,DAN KENNEDY,OUTSIDE HITTER,75,2013-2014
UC Santa Cruz,D3,GINO GAMBOA,OUTSIDE HITTER,74,2013-2014
UC Santa Cruz,D3,GUNNAR JAFFARIAN,MIDDLE BLOCKER,77,2013-2014
UC Santa Cruz,D3,HARLAND FROST,RIGHT SIDE,78,2013-2014
UC Santa Cruz,D3,JAKE HURWITZ,LIBERO,70,2013-2014
