college,division,playername,position,height,season
UC Santa Cruz,D3,JAKE LANDEL,OUTSIDE HITTER,74,2013-2014
UC Santa Cruz,D3,JORGE REYES,OUTSIDE HITTER,76,2013-2014
UC Santa Cruz,D3,MARK LUND,OUTSIDE HITTER,73,2013-2014
UC Santa Cruz,D3,THOMAS HASSENBEIN,MIDDLE BLOCKER,78,2013-2014
UCSB,D1,AUSTIN KINGI,OUTSIDE HITTER,76,2013-2014
UCSB,D1,BOBBY CURTIS,OUTSIDE HITTER,77,2013-2014
UCSB,D1,CHAD KINGI,RIGHT SIDE/LIBERO,76,2013-2014
UCSB,D1,DERRICO KWA,SETTER,71,2013-2014
UCSB,D1,EVAN LICHT,RIGHT SIDE/RIGHT SIDE,76,2013-2014
UCSB,D1,GRADY ZANT,SETTER,70,2013-2014
UCSB,D1,JACOB DELSON,OUTSIDE HITTER/RIGHT SIDE,77,2013-2014
UCSB,D1,JAKE STAAHL,RIGHT SIDE/MIDDLE BLOCKER,78,2013-2014
UCSB,D1,JONAH SEIF,SETTER,80,2013-2014
UCSB,D1,KEVIN DONOHUE,OUTSIDE HITTER/RIGHT SIDE,75,2013-2014
UCSB,D1,MATT HANLEY,OUTSIDE HITTER/RIGHT SIDE,76,2013-2014
UCSB,D1,MATT MARSH,RIGHT SIDE,80,2013-2014
UCSB,D1,PARKER BOEHLE,RIGHT SIDE/LIBERO,70,2013-2014
UCSB,D1,RYAN HARDY,RIGHT SIDE/MIDDLE BLOCKER,79,2013-2014
UCSB,D1,RYAN KASEFF,MIDDLE BLOCKER,78,2013-2014
